2022-5-21 12:16:57 	 228bdbc4-b35a-4579-b785-884af1dfad87 	 Error	Not allowed by cors 
2022-5-21 12:57:5 	 4b708b04-e15f-4509-a464-5e0037cd7b7a 	 Error	Not allowed by cors 
2022-5-21 13:2:39 	 2b74f984-5860-4720-b9b7-23f5aae0c37f 	 ReferenceError	path is not defined 
2022-5-21 13:2:42 	 439c7202-920a-4674-a5c2-8bf0e51fe2ad 	 ReferenceError	path is not defined 
2022-5-21 13:3:6 	 538c172e-49bf-4d0e-9cd5-866dd43294f3 	 ReferenceError	path is not defined 
2022-5-21 13:3:8 	 8514f707-8f44-4171-8325-7a78444c3702 	 ReferenceError	path is not defined 
2022-5-21 13:3:50 	 be29e2bd-f8fe-4b41-a9ec-92a655a3331c 	 ReferenceError	path is not defined 
2022-5-26 23:21:59 	 a6ee3008-388a-440a-8447-65f3b7469c76 	 SyntaxError	Unexpected token } in JSON at position 184 
2022-5-28 3:59:17 	 77ec4af6-8d5a-4e4d-b6f7-a86b96f3c903 	 SyntaxError	Unexpected token / in JSON at position 34 
2022-5-28 3:59:29 	 3f9dd6d3-afb1-4235-8b3b-ca727fad5c52 	 SyntaxError	Unexpected token / in JSON at position 34 
2022-5-28 3:59:43 	 6cace636-e391-421c-8747-5e60c3c7c9b4 	 SyntaxError	Unexpected token / in JSON at position 34 
2022-5-31 11:15:25 	 e8f4536e-dce2-41f2-ad1d-83cf9689c412 	 TypeError	Cannot read properties of undefined (reading 'designation') 
2022-6-4 10:28:55 	 e9562e51-a95e-480c-a794-0f9d5263badc 	 Error	Not allowed by cors 
2022-6-4 10:29:54 	 b553829f-dae5-49f7-9baa-9fc21a124d91 	 Error	Not allowed by cors 
2022-6-4 10:51:5 	 338615ec-0bbb-406f-974a-2a2f53d348f4 	 TypeError	res.headers is not a function 
2022-6-4 10:56:47 	 875551c7-2e7f-4111-a17c-62ff94608459 	 TypeError	res.headers is not a function 
2022-6-4 10:59:44 	 89b68dd9-ff46-4f2f-9bce-4a35bf7c18be 	 TypeError	res.headers is not a function 
2022-6-4 11:16:33 	 9584c380-9a34-462b-92b0-c63725b4486e 	 Error	Not allowed by cors 
2022-6-4 11:17:14 	 3e590873-6ce3-4c74-a4f0-e0abf99409de 	 Error	Not allowed by cors 
2022-6-8 5:18:7 	 62df6035-e8b7-486d-9fe0-ce58c9ba7066 	 Error	Not allowed by cors 
